Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2014-01-23,Dallas Buyers Club,2013,https://boxd.it/2r4Zp,5,,"This movie made me like Matthew McConaughey.

Going into this film I was expecting nothing. The journey you take with Ron through the trials he faces as a newly stricken victim of HIV is not heartbreaking, but sad and not in the way you'd expect.

I didn't come out of this movie really liking Ron. I say, don't be fooled by the outer image of him being the hero and helping others with HIV; his motivations are solely greed.  It's not until he loses Rayon (Leto) that any real care for others shines through. Ron, like most of the other characters, is in it for himself. 

This is 'based on a true story', and knowing that writers twist stories to entertain, I was still enthralled. Great movie with some of the best performances of Leto and McConaughy I've seen.","December 2013, McConaughey, leto",
2014-01-23,The Wolf of Wall Street,2013,https://boxd.it/2r561,0.5,,"Hard movie to review. What should have been a great time at the movies, left me feeling disgusted. This movie makes me cringe when I think about how it's nothing more than Hollywood telling an audience that it's wrong to be like Jordan, but the entire time Hollywood is proving they do not practice what they preach. We are shown a man that uses and abuses anyone to get to the top. We are shown how it is wrong. In the end nothing bad happens to Jordan. He still receives his money and only does light time. 

If I watch this movie blind to the hypocrisy, then it's a fun film full of crazy antics. I always enjoy DiCaprio, but I wish that he would have opted out of this piece.",December 2013,
2014-01-25,Ip Man,2008,https://boxd.it/2rMwB,5,,One of the few movies that had me screaming for more. On the edge of my seat for the entire movie. Fantastic.,,
2014-01-25,Don Jon,2013,https://boxd.it/2rN2d,1,,"Joe - Joe, Joe, Joe. What are you doing? This had to be a joke script that was looked at by a couple of buddies that were too afraid to say ""Man, this is not any good."", because this was not any good.","December 2013, joseph gordon-levitt, stinker",
2014-05-15,Cheap Thrills,2013,https://boxd.it/387Ob,1.5,,Nothing more than a knockoff of a scene in Four Rooms. ,,2014-05-14
2015-06-12,The Castle,1997,https://boxd.it/64Tbb,4.5,,"""tell 'im 'e's dreaming""",,2015-06-10
2015-12-14,The Straight Story,1999,https://boxd.it/7JS7X,5,,"Well, now I'm sad.",,2015-12-12
2015-12-19,Star Wars: The Force Awakens,2015,https://boxd.it/7MLGH,3,,Lots of callbacks to the past films. A few too many winks and nods for my taste.,,2015-12-18
2015-12-27,The Party,1968,https://boxd.it/7Tke1,5,,What a great watch. Belly laughs from the beginning to the end. ,,2015-12-26
2016-03-20,The Innocents,1961,https://boxd.it/90sCD,4.5,,One more reason not to have children. Creepy little bastards.,,
2016-06-12,El Topo,1970,https://boxd.it/a3VzX,2.5,,Too much animal cruelty. ,,2016-06-10
2018-09-25,Climax,2018,https://boxd.it/wSWm1,4,,I feel unsettled and a little titillated.,,2018-09-24
2023-08-16,Child's Play,1988,https://boxd.it/4HNZzN,4,,Really rethinking my love of puppets. Missing this growing up is such a shame.,,2023-08-15
2023-11-02,Dicks: The Musical,2023,https://boxd.it/563l0B,2,,I don’t know about this one. I’m as gay as they come in this one had me cringing.,,2023-11-01
2023-11-20,Best. Christmas. Ever!,2023,https://boxd.it/5bIO9J,1.5,,Weed didn’t help this,,2023-11-19
2023-11-25,Baraka,1992,https://boxd.it/5dswPN,4,,Quite a ride on shrooms with disco as the soundtrack. Solid 4 stars!,,2023-11-24
2024-01-07,All of Us Strangers,2023,https://boxd.it/5wrAgr,2.5,,Licking cum off of a stomach is why 2 1/2 stars. Full penetration could have got 5.,,2024-01-06
2024-01-15,Rustin,2023,https://boxd.it/5B2feJ,3,,"“ amen, amen amen, amen”",,2024-01-14
2024-01-17,Uncut Gems,2019,https://boxd.it/5C8dvz,4.5,,Stressed me the fuck out.,,2024-01-16
2024-04-26,No Skin Off My Ass,1991,https://boxd.it/6ltorF,4,,Boys being boys,,2024-04-24
2025-02-11,Maid in Manhattan,2002,https://boxd.it/8NHqQD,3.5,Yes,"When the people loved her. Plus, it’s a Christmas movie!!",,2025-02-10
2026-01-24,Primate,2025,https://boxd.it/cNiIrD,4,,"Mad, mad, monkey madness. Such a fun B movie ride.",,2026-01-23
